Rank,Player,Pos,Team,Bye,PosRank,PosTier,Tier,ECR,VBD,Upside,Bust,Risk,Depth,Backfield,Spread,Ranked,Rookie,Availability,Injury
48,Travis Etienne,RB,NO,8,RB18,5,7,48.1,61,15.1,16.9,tight,1,bellcow,6.99,yes,,,
49,Davante Adams,WR,LAR,11,WR24,7,7,49.79,31,20.8,19.2,tight,2,,7.63,yes,,,
50,Jayden Daniels,QB,WAS,7,QB5,3,8,51.37,55,24.4,49.6,wide,1,,15.7,yes,,,
51,DJ Moore,WR,BUF,7,WR25,7,8,51.91,27,32.9,55.1,some,1,,13.01,yes,,,
52,Tyler Warren,TE,IND,13,TE4,2,8,54.21,73,32.2,30.8,some,1,,10.84,yes,,,Questionable
53,Mike Evans,WR,SF,8,WR26,8,8,54.95,25,19,28.1,some,1,,10.22,yes,,,Questionable
54,Jameson Williams,WR,DET,6,WR27,7,8,55.17,21,15.2,34.8,some,2,,9.6,yes,,,
55,D'Andre Swift,RB,CHI,10,RB19,5,9,55.82,54,14.8,19.2,tight,1,lead w/ Kyle Monangai,7.89,yes,,,
56,Rome Odunze,WR,CHI,10,WR28,8,9,56.85,20,14.9,26.2,some,1,,8.76,yes,,,
57,Cam Skattebo,RB,NYG,8,RB20,5,9,57.08,50,16.1,19.9,some,1,bellcow,8.56,yes,,,
58,Jalen Hurts,QB,PHI,10,QB6,3,9,57.88,41,27.9,21.1,some,1,,11.09,yes,,,
59,Christian Watson,WR,GB,11,WR29,8,9,58.42,19,14.4,48.6,some,1,,10.6,yes,,,
60,Bucky Irving,RB,TB,10,RB21,5,9,59.1,48,18.1,20.9,some,1,lead w/ Kenny Gainwell + Sean Tucker,8.57,yes,,,
61,David Montgomery,RB,HOU,8,RB22,6,9,61.08,40,18.1,20.9,some,1,bellcow,8.52,yes,,,
62,Quinshon Judkins,RB,CLE,11,RB23,6,9,61.38,36,22.4,18.6,some,1,bellcow,8.84,yes,,,
63,Parker Washington,WR,JAX,7,WR30,8,10,65.66,18,25.7,49.3,wide,1,,16.1,yes,,,
64,Carnell Tate,WR,TEN,9,WR31,8,10,67.21,14,22.2,53.8,some,1,,14.92,yes,ROOKIE,,
65,Bhayshul Tuten,RB,JAX,7,RB24,6,10,67.57,31,26.6,31.4,some,1,lead w/ Chris Rodriguez,10.33,yes,,,
66,Caleb Williams,QB,CHI,10,QB7,3,10,67.6,34,37.6,30.4,some,1,,13.35,yes,,,
67,Marvin Harrison,WR,ARI,14,WR32,8,10,68.77,12,23.8,31.2,some,1,,11.35,yes,,,
68,TreVeyon Henderson,RB,NE,11,RB25,6,10,68.92,28,25.9,23.1,some,1,COMMITTEE w/ Rhamondre Stevenson,9.9,yes,,,Questionable
69,Justin Herbert,QB,LAC,7,QB8,4,11,72.27,24,35.3,32.7,some,1,,12.68,yes,,,
70,Jadarian Price,RB,SEA,11,RB26,7,11,72.98,22,26,13,some,1,bellcow,8.91,yes,ROOKIE,,
71,Harold Fannin,TE,CLE,11,TE5,3,11,74.29,61,20.3,36.7,some,1,,11.14,yes,,,
72,Jaylen Warren,RB,PIT,9,RB27,7,11,77,19,12,25,some,1,COMMITTEE w/ Rico Dowdle,8.05,yes,,,
